responder_id,birth_year,gender,industry_desc,occupation_desc,organization_size,manage_others,household,years_at_job,metro_or_regional,Actual Remote Days,org_encouraged_rw,org_prepared_for_rw,rw_is_common_at_org,rw_permission_is_attainable,rw_collaboration_easy,preferred_rw_percentage_2020,preferred_rw_percentage_future,if_no_covid_employer_encourage_rw,if_no_covid_employer_support_rw,if_no_covid_i_would_have_choice_about_rw,productivity_remote_vs_office,inperson_hours__commuting,inperson_hours__working,inperson_hours__personal_family_time,inperson_hours_domestic_responsibilities,remote_hours_commuting,remote_hours_working,remote_hours_personal_family_time,remote_hours_domestic_responsibilities
1714,1989,Male,Information Media and Telecommunications,Professionals - ICT Professionals,Between 5 and 19,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,3-4 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Somewhat likely,Somewhat likely,Somewhat likely,much more productive,2,4,5,1,1,8,4,2
1715,1988,Female,Other,Other,I am a sole trader/owner-operator,No,Couple with no dependent children,Between 6 and 12 months,Regional,1-2 days,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,1-2 days,1-2 days,Somewhat likely,Very unlikely,Neither unlikely or likely,much more productive,2,8,3.5,2,0.5,8,4,2.5
1716,1990,Male,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Single person,Between 6 and 12 months,Metro,1-2 days,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,2-3 days,3-4 days,Somewhat likely,Somewhat unlikely,Somewhat likely,more productive,4,3,3,3,4,4,4,4
1717,1974,Female,Other,Other,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,3-4 days,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,4-5 days,2-3 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,same productivity,3,8,3,2,0,10,4,4
1718,1990,Female,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,0-1 days,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,1-2 days,0-1 days,Neither unlikely or likely,Somewhat likely,Very unlikely,more productive,2,8,6,1,1,6,6,3
1719,1964,Male,Other,Managers - Specialist Managers,Between 5 and 19,Yes,Couple with dependent children,Between 1 and 5 years,Metro,0-1 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,1-2 days,2-3 days,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,much more productive,3.5,8,2.5,2,0.5,8.5,4,3
1720,1960,Male,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",I am a sole trader/owner-operator,No,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,4-5 days,4-5 days,Very likely,Neither unlikely or likely,Neither unlikely or likely,much more productive,1,5,8,2,1,5,8,2
1721,1996,Female,Information Media and Telecommunications,Managers - Specialist Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,0-1 days,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,2-3 days,4-5 days,Somewhat unlikely,Very likely,Somewhat likely,more productive,2.5,8,4,1.5,0.5,9,5,1.5
1722,1963,Female,"Professional, Scientific and Technical",Other,More than 200,No,Couple with no dependent children,More than 5 years,Regional,4-5 days,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,4-5 days,4-5 days,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,more productive,5,8,2.5,0.5,0.5,9,5.5,1
1723,1970,Male,Information Media and Telecommunications,"Professionals - Design, Engineering, Science and Transport Professionals",Between 5 and 19,No,Couple with dependent children,More than 5 years,Metro,3-4 days,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Neither unlikely or likely,Neither unlikely or likely,Somewhat likely,same productivity,2,7,4,3,0,7,5,4
1724,1987,Female,Other,Other,I am a sole trader/owner-operator,No,One parent family with dependent children,Between 6 and 12 months,Metro,1-2 days,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,1-2 days,1-2 days,Somewhat likely,Neither unlikely or likely,Very unlikely,more productive,3,7,5,6,3,6,7,5
1725,1980,Female,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,2-3 days,2-3 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,much more productive,2,8,3,3,4,8,4,2
1726,1978,Female,Financial and Insurance,Managers - Specialist Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Somewhat likely,Somewhat likely,Somewhat likely,much more productive,2,8,2,4,0,11,2,3
1727,1994,Female,Other,Other,Between 20 and 199,Yes,One parent family with dependent children,Between 1 and 5 years,Metro,3-4 days,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,2-3 days,2-3 days,Very unlikely,Very unlikely,Very unlikely,much more productive,2,8,4,2,0,8,4,3
1728,1964,Male,"Professional, Scientific and Technical",Other,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,1-2 days,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,1-2 days,1-2 days,Neither unlikely or likely,Somewhat likely,Somewhat likely,same productivity,3,9,3,2,0.5,9,5.5,2
1729,1987,Male,Retail Trade,Other,Between 1 and 4,No,One parent family with dependent children,Between 6 and 12 months,Metro,1-2 days,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,1-2 days,3-4 days,Neither unlikely or likely,Very unlikely,Somewhat likely,much more productive,1,8,6,4,2,7,6,3
1730,1973,Male,"Professional, Scientific and Technical",Professionals - ICT Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Neither unlikely or likely,Neither unlikely or likely,Very likely,same productivity,2,8.5,5,1,0,8.5,7,1
1731,1990,Female,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,0-1 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,0-1 days,0-1 days,Very likely,Somewhat likely,Very likely,much more productive,2,2,6,2,2,9,4,3
1732,1958,Female,Health Care and Social Assistance,Other,More than 200,No,Couple with no dependent children,More than 5 years,Regional,4-5 days,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Very likely,Very likely,Very likely,same productivity,0.5,4,6.5,3,0,4,7,3
1733,1969,Female,Health Care and Social Assistance,Other,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,2-3 days,2-3 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,same productivity,2,6,4,4,0,6,6,4
1734,1979,Male,Financial and Insurance,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,2-3 days,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,2-3 days,2-3 days,Somewhat likely,Somewhat likely,Somewhat likely,much more productive,3,8,2,3,0,8,5,3
1735,1991,Female,Other,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,4-5 days,3-4 days,Very likely,Very likely,Very likely,more productive,1,9,5,2,2,8,3,1
1736,1985,Male,Other,Other,Between 5 and 19,No,Single person,Between 6 and 12 months,Metro,0-1 days,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,1-2 days,1-2 days,Somewhat unlikely,Somewhat likely,Somewhat likely,much more productive,5,5,5,5,5,5,5,5
1737,1988,Male,Other Services,Other,More than 200,No,Single person,More than 5 years,Metro,0-1 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,4-5 days,2-3 days,Somewhat unlikely,Somewhat unlikely,Very unlikely,much more productive,2,10,3,3,0.5,6,4,5
1738,1961,Female,Other,Other,Between 1 and 4,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,4-5 days,4-5 days,Very likely,Very likely,Very likely,same productivity,1,7,5,3,1,7,5,3
1739,1970,Female,Other,Other,Between 20 and 199,No,One parent family with dependent children,Between 6 and 12 months,Metro,4-5 days,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,4-5 days,4-5 days,Somewhat likely,Somewhat likely,Somewhat likely,much less productive,2,7,5,3,2,7,3,5
1740,1982,Female,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,4-5 days,4-5 days,Very unlikely,Somewhat unlikely,Very unlikely,much more productive,2.5,9,3,2.5,0.5,8,5.5,2
1741,1980,Male,Other,Other,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,2-3 days,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,2-3 days,0-1 days,Somewhat unlikely,Somewhat likely,Somewhat likely,much more productive,2,3,3.5,2,3,2,5,2.5
1742,1986,Female,Other Services,Other,Between 1 and 4,Yes,Couple with no dependent children,More than 5 years,Regional,4-5 days,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Neither unlikely or likely,Neither unlikely or likely,Very likely,more productive,1,6,4,5,1,5,5,4
1743,1991,Male,"Professional, Scientific and Technical","Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,Yes,Group household,More than 5 years,Metro,4-5 days,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,4-5 days,3-4 days,Neither unlikely or likely,Very unlikely,Very likely,more productive,2,9,3,2,0,12,2,2
1744,1986,Male,Education and Training,Professionals - Education Professionals,Between 20 and 199,No,One parent family with dependent children,Between 1 and 5 years,Metro,3-4 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,3-4 days,3-4 days,Very likely,Very likely,Somewhat likely,same productivity,3,8,3,2,1,10,3,3
1745,2001,Female,Other,Professionals - Education Professionals,Between 5 and 19,Yes,Other one family household,Between 6 and 12 months,Regional,0-1 days,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,0-1 days,0-1 days,Neither unlikely or likely,Somewhat unlikely,Neither unlikely or likely,more productive,1,14,2,2,1,6,4,7
1746,1980,Male,Other,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Yes,One parent family with dependent children,More than 5 years,Metro,0-1 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,1-2 days,0-1 days,Very likely,Somewhat likely,Somewhat likely,much more productive,3,3,4,5,0.5,8,7,2.5
1747,1970,Male,Information Media and Telecommunications,Other,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,2-3 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,1-2 days,Very likely,Very likely,Somewhat likely,much more productive,6,2,4,4,0.5,2,3,2
1748,1983,Female,Other,Other,Between 5 and 19,No,One parent family with dependent children,Between 6 and 12 months,Regional,0-1 days,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,0-1 days,1-2 days,Somewhat unlikely,Somewhat unlikely,Somewhat likely,much more productive,1,9,3,5,1,9,3,4
1749,1978,Male,Financial and Insurance,Managers - Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,1-2 days,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,2-3 days,0-1 days,Very likely,Very likely,Somewhat likely,much more productive,2,8,2,4,2,8,2,4
1750,1962,Female,Other,Managers - Specialist Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Regional,0-1 days,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,0-1 days,0-1 days,Very unlikely,Very unlikely,Very unlikely,much more productive,1,12,0,4,0,15,0,3
1751,1994,Female,Retail Trade,Managers - Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,2-3 days,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,3-4 days,3-4 days,Somewhat likely,Somewhat likely,Somewhat unlikely,same productivity,1,8,2,5,1,8,3,5
1752,1979,Male,Financial and Insurance,Managers - Specialist Managers,Between 20 and 199,Yes,One parent family with dependent children,Between 1 and 5 years,Metro,1-2 days,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,1-2 days,0-1 days,Somewhat likely,Somewhat likely,Very likely,much more productive,2,8,2,4,2,8,2,4
1753,1964,Female,Financial and Insurance,Other,Between 20 and 199,No,Single person,More than 5 years,Metro,2-3 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,2-3 days,2-3 days,Very unlikely,Very unlikely,Very unlikely,less productive,2,8,4,2,1,8,4,3
1754,1964,Female,Financial and Insurance,Other,Between 5 and 19,No,Couple with dependent children,More than 5 years,Metro,0-1 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,0-1 days,1-2 days,Somewhat likely,Somewhat likely,Somewhat likely,same productivity,1,8,4,3,0,8,4,4
1755,1965,Female,Financial and Insurance,Other,Between 20 and 199,No,Single person,More than 5 years,Metro,3-4 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,3-4 days,3-4 days,Neither unlikely or likely,Somewhat likely,Somewhat likely,more productive,1,8,4,3,0,8,4,4
1756,1996,Female,Health Care and Social Assistance,Other,Between 5 and 19,No,Couple with no dependent children,Between 6 and 12 months,Metro,3-4 days,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,3-4 days,3-4 days,Somewhat likely,Somewhat likely,Somewhat likely,less productive,2,8,5,1,0,8,5,2
1757,1964,Female,Other,Other,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Somewhat likely,Neither unlikely or likely,Somewhat likely,same productivity,1,8,3,4,1,8,3,4
1758,1985,Female,Other Services,"Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,4-5 days,4-5 days,Somewhat likely,Neither unlikely or likely,Somewhat likely,same productivity,3,9,3,2,0.5,10,4,3
1759,1980,Male,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Very likely,Very likely,Very likely,much more productive,4,5,5,5,5,5,5,5
1760,1993,Female,Health Care and Social Assistance,Other,More than 200,No,One parent family with dependent children,Between 1 and 5 years,Regional,2-3 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Somewhat unlikely,Somewhat likely,Neither unlikely or likely,same productivity,1,8,2,5,1,7,2,6
1761,1963,Female,Other,Other,More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,4-5 days,4-5 days,Neither unlikely or likely,Very unlikely,Very unlikely,same productivity,0,8,4,5,0,8,4,5
1762,1969,Male,Other Services,Other,More than 200,No,Couple with no dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Somewhat likely,Somewhat likely,Somewhat unlikely,more productive,2,6,6,4,1,7,6,4
1763,1957,Female,Education and Training,Professionals - Education Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,2-3 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,1-2 days,1-2 days,Somewhat likely,Somewhat likely,Somewhat likely,more productive,2,8,4,3,0,8,4,4
1764,1985,Female,"Professional, Scientific and Technical",Other,Between 1 and 4,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Neither unlikely or likely,Somewhat likely,Very likely,much more productive,2,6,2,3,1,8,2,7
1765,1969,Male,Other,"Professionals - Design, Engineering, Science and Transport Professionals",Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,2-3 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,2-3 days,2-3 days,Somewhat likely,Somewhat likely,Somewhat likely,much more productive,3,9,3,2,1,10,3,3
1766,1997,Female,Other,Other,Between 5 and 19,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,2-3 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Very likely,Very likely,Very likely,same productivity,4,1,8,3,4,8,2,8
1767,1990,Female,Information Media and Telecommunications,Other,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat likely,Somewhat likely,Somewhat likely,less productive,2,8,4,2,0,7,5,4
1768,1982,Female,Financial and Insurance,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,2-3 days,2-3 days,Somewhat likely,Somewhat likely,Somewhat likely,much more productive,2,8,4,2,0,8,4,4
1769,2000,Female,Information Media and Telecommunications,Other,More than 200,No,Single person,Between 1 and 5 years,Metro,0-1 days,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,0-1 days,0-1 days,Neither unlikely or likely,Neither unlikely or likely,Very unlikely,much less productive,3,12,5,0,3,12,5,0
1770,1973,Female,Financial and Insurance,Other,More than 200,No,Couple with dependent children,Between 1 and 5 years,Regional,4-5 days,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,4-5 days,4-5 days,Somewhat likely,Somewhat unlikely,Somewhat likely,less productive,1,5,7,3,1,5,7,3
1771,1986,Female,Education and Training,Professionals - Education Professionals,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,0-1 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,0-1 days,0-1 days,Very unlikely,Very unlikely,Very unlikely,more productive,3,7,3,3,0,10,3,3
1772,1973,Male,Other,"Professionals - Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with dependent children,More than 5 years,Metro,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Neither unlikely or likely,Somewhat likely,Somewhat likely,more productive,1.5,7.5,4,4,0,7,5,5
1773,2000,Female,Other,Other,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,2-3 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Very likely,Very likely,Very likely,much more productive,2,10,4,2,2,10,0,5
1774,1988,Female,Other,Other,Between 1 and 4,No,One parent family with dependent children,Between 6 and 12 months,Metro,1-2 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,2-3 days,3-4 days,Neither unlikely or likely,Somewhat likely,Somewhat likely,much more productive,3,8,3,3,1,10,3,3
1775,1996,Female,Other Services,Other,More than 200,No,Single person,Between 1 and 5 years,Metro,0-1 days,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,2-3 days,2-3 days,Very unlikely,Very unlikely,Very unlikely,same productivity,1,8,6.5,0.5,0.5,8,5,2.5
1776,1990,Male,Retail Trade,Other,More than 200,No,Single person,Between 1 and 5 years,Regional,2-3 days,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,2-3 days,0-1 days,Very likely,Very likely,Very likely,much more productive,1,7,5,3,1,8,5,2
1777,1992,Male,Other Services,Other,Between 20 and 199,Yes,Multiple family household,Between 1 and 5 years,Metro,1-2 days,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,1-2 days,0-1 days,Somewhat unlikely,Very likely,Somewhat likely,much less productive,4,10,4,2,0.5,6,4,2
1778,1981,Male,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,1-2 days,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,1-2 days,1-2 days,Somewhat likely,Very likely,Very likely,more productive,2,5,5,2,2,8,3,3
1779,1998,Female,Other Services,Other,Between 20 and 199,No,Couple with no dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,3-4 days,0-1 days,Very likely,Very likely,Very likely,much less productive,2,8,4,2,0,8,6,2
1780,1985,Male,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,No,One parent family with dependent children,More than 5 years,Metro,1-2 days,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,1-2 days,0-1 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,same productivity,1,9,6,4,1,9,4,6
1781,1988,Female,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,4-5 days,4-5 days,Very unlikely,Very unlikely,Very unlikely,more productive,1.5,8,4,2.5,0,9,4,3
1782,1960,Female,Other Services,Other,Between 1 and 4,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,4-5 days,2-3 days,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,much more productive,2,6,5,4,0.5,7,5,5
1783,1969,Female,Information Media and Telecommunications,Other,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Neither unlikely or likely,Somewhat likely,Somewhat likely,much more productive,1,9,1,6,0,9,2,6
1784,1986,Female,Other,Managers - Specialist Managers,Between 20 and 199,Yes,Other one family household,More than 5 years,Regional,1-2 days,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,3-4 days,0-1 days,Somewhat likely,Somewhat unlikely,Neither unlikely or likely,much more productive,6,7,5,1,0.5,6,2,4
1785,1965,Female,Health Care and Social Assistance,Other,I am a sole trader/owner-operator,No,Single person,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,same productivity,1,10,3,1,0,8,6,2
1786,1970,Male,Education and Training,Professionals - Education Professionals,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,0-1 days,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,2-3 days,0-1 days,Very unlikely,Very unlikely,Very unlikely,same productivity,3,8,2,5,2,10,2,5
1787,1961,Male,Other,Managers - Specialist Managers,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,3-4 days,1-2 days,Somewhat unlikely,Somewhat unlikely,Neither unlikely or likely,much more productive,2,8,4,3,0.5,9,5,1.5
1788,1980,Female,Other Services,Other,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Very likely,Very likely,Very likely,same productivity,4,7.5,2,3.5,0.5,7.5,3.5,3.5
1789,1963,Male,Financial and Insurance,Managers - Specialist Managers,Between 5 and 19,No,Couple with no dependent children,More than 5 years,Metro,0-1 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,0-1 days,0-1 days,Somewhat likely,Somewhat unlikely,Somewhat likely,more productive,1,9,5,2,1,8,5,3
1790,1961,Male,Financial and Insurance,Professionals - ICT Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,2-3 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,2-3 days,2-3 days,Somewhat unlikely,Neither unlikely or likely,Neither unlikely or likely,same productivity,2,9,3,2,1,9,3,3
1791,1964,Male,Other,Other,Between 20 and 199,No,Group household,Between 6 and 12 months,Metro,1-2 days,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,4-5 days,0-1 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,much less productive,2,7.5,4,4,0.5,8,3.5,5
1792,1974,Male,Information Media and Telecommunications,Other,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,0-1 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,0-1 days,0-1 days,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,less productive,1.5,10,3.5,2,0,10,5,2
1793,1980,Male,Other,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,0-1 days,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,1-2 days,1-2 days,Very unlikely,Somewhat unlikely,Very unlikely,much more productive,1.5,7.6,4,2.8999,0.5,9,4,3
1794,1972,Male,"Professional, Scientific and Technical",Managers - Specialist Managers,More than 200,Yes,Single person,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Somewhat unlikely,Neither unlikely or likely,Neither unlikely or likely,much more productive,3,8,2,1,0,10,2,2
1795,1969,Male,Other,Other,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,0-1 days,1-2 days,Somewhat likely,Neither unlikely or likely,Somewhat likely,much more productive,1,7,8,1,0,7,5,5
1796,1964,Male,Other,Other,Between 5 and 19,No,Couple with no dependent children,Between 1 and 5 years,Regional,0-1 days,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,1-2 days,2-3 days,Somewhat likely,Neither unlikely or likely,Neither unlikely or likely,same productivity,1,8,6,3,2,8,6,2
